TYPE,Name,UGCode,MICode,Datum,Units,"Origin, Longitude","Origin, Latitude",Standard Parallel 1,Standard Parallel 2,Azimuth,Scale Factor,False Easting,False Northing,Range
P,Albers Equal-Area Conic,43007,9,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Azimuthal Equidistant (all origin latitudes),43032,28,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Azimuthal Equidistant (polar aspect only),43032,5,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Cassini-Soldner,43028,30,X,X,X,X,n/a,n/a,n/a,n/a,X,X,n/a
P,Cylindrical Equal-Area,43041,2,X,X,X,n/a,X,n/a,n/a,n/a,n/a,n/a,n/a
P,Eckert IV,43012,14,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Eckert VI,43010,15,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Equidistant Conic (also known as Simple Conic),43027,6,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Gall,43016,17,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Hotine Oblique Mercator,43044,7,X,X,X,X,n/a,n/a,X,X,X,X,n/a
P,Lambert Azimuthal Equal-Area (polar aspect only),43033,4,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Lambert Azimuthal Equal-Area,43033,29,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Lambert Conformal Conic,43020,3,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Lambert Conformal Conic (modified for Belgium 1972),43020,19,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Longitude/Latitude,43000,1,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Mercator,43004,10,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Miller Cylindrical,43003,11,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Mollweide,43009,13,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Polyconic,43021,27,X,X,X,X,n/a,n/a,n/a,n/a,X,X,n/a
P,Robinson,43030,12,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Sinusoidal,43008,16,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Stereographic,43026,20,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (also known as Gauss-Kruger),43006,8,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Gauss-Kruger,43005,8,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34 Jylland-Fyn),43006,21,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34 Sjaelland),43006,22,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34/45 Bornholm),43006,23,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Finnish KKJ),43006,24,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
TYPE,Name,UGCode,MICode,Ellipsoid,,,,,,,,,,
D,Adindan,6201,1,Clarke 1880,,,,,,,,,,
D,Afgooye,6205,2,Krassovsky,,,,,,,,,,
D,Krassovsky,6024,1001,Krassovsky 1940,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1007,Australian National,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1008,Australian National,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1009,Australian National,,,,,,,,,,
D,AGD 84 (7 parameter),6203,1006,Australian National,,,,,,,,,,
D,Ain el Abd 1970,6204,3,International,,,,,,,,,,
D,American Samoa,39252,118,Clarke 1866,,,,,,,,,,
D,Anna 1 Astro 1965,39231,4,Australian National,,,,,,,,,,
D,Antigua Island Astro 1943,39236,119,Clarke 1880,,,,,,,,,,
D,Arc 1950,6209,5,Clarke 1880,,,,,,,,,,
D,Arc 1960,6210,6,Clarke 1880,,,,,,,,,,
D,Ascension Island 1958,39237,7,International,,,,,,,,,,
D,"Astro Beacon ""E""",39212,8,International,,,,,,,,,,
D,Astro DOS 71/4,39238,10,International,,,,,,,,,,
D,Astronomic Station 1952,39214,11,International,,,,,,,,,,
D,Australian Geodetic 1966 (AGD 66),6202,12,Australian National,,,,,,,,,,
D,Australian Geodetic 1984 (AGD 84),6203,13,Australian National,,,,,,,,,,
D,Ayabelle Lighthouse,39208,120,Clarke 1880,,,,,,,,,,
D,Bellevue (IGN),39215,14,International,,,,,,,,,,
D,Bermuda 1957,6216,15,Clarke 1866,,,,,,,,,,
D,Bogota Observatory,6218,16,International,,,,,,,,,,
D,Bukit Rimpah,6219,121,Bessel 1841,,,,,,,,,,
D,Campo Inchauspe,6221,17,International,,,,,,,,,,
D,Canton Astro 1966,39216,18,International,,,,,,,,,,
D,Cape,6222,19,Clarke 1880,,,,,,,,,,
D,Cape Canaveral,39239,20,Clarke 1866,,,,,,,,,,
D,Cape (7 parameter),6222,1005,WGS 84,,,,,,,,,,
D,Carthage,6223,21,Clarke 1880,,,,,,,,,,
D,Chatham 1971,39217,22,International,,,,,,,,,,
D,Chua Astro,6224,23,International,,,,,,,,,,
D,Corrego Alegre,6225,24,International,,,,,,,,,,
D,Dabola,39210,123,Clarke 1880,,,,,,,,,,
D,Deception Island,39254,124,Clarke 1880,,,,,,,,,,
D,Deutsches Hauptdreicksnetz (DHDN) Potsdam/Rauenberg,6314,1000,Bessel,,,,,,,,,,
D,Djakarta (Batavia),6211,25,Bessel 1841,,,,,,,,,,
D,DOS 1968,39218,26,International,,,,,,,,,,
D,Easter Island 1967,39219,27,International,,,,,,,,,,
D,European 1950 (ED 50),6230,28,International,,,,,,,,,,
D,European 1979 (ED 79),39201,29,International,,,,,,,,,,
D,European 1987 (ED 87),6231,108,International,,,,,,,,,,
D,Fort Thomas 1955,39240,125,Clarke 1880,,,,,,,,,,
D,Gandajika Base,6233,30,International,,,,,,,,,,
D,GDA 94,6283,116,GRS 80,,,,,,,,,,
D,Geodetic Reference System 1967 (GRS 67),6036,32,GRS 67,,,,,,,,,,
D,Geodetic Reference System 1980 (GRS 80),6019,33,GRS 80,,,,,,,,,,
D,Graciosa Base SW 1948,39241,126,International 1924,,,,,,,,,,
D,Guam 1963,39220,34,Clarke 1866,,,,,,,,,,
D,GUX 1 Astro,39221,35,International,,,,,,,,,,
D,Herat North,6255,127,International 1924,,,,,,,,,,
D,Hito XVIII 1963,6254,36,International,,,,,,,,,,
D,Hjorsey 1955,39204,37,International,,,,,,,,,,
D,Hong Kong 1963,39205,38,International,,,,,,,,,,
D,Hungarian Datum of 1972 (HD 72),6237,1004,GRS 67,,,,,,,,,,
D,Hu-Tzu-Shan,6236,39,International,,,,,,,,,,
D,Indian 1954,6239,130,Everest (India 1830),,,,,,,,,,
D,Indian 1960,39256,131,Everest (India 1830),,,,,,,,,,
D,Indian 1975,6240,132,Everest (India 1830),,,,,,,,,,
D,Indonesian 1974,6238,133,Indonesian 1974,,,,,,,,,,
D,ISTS 061 Astro 1968,39242,134,International 1924,,,,,,,,,,
D,ISTS 073 Astro 1969,39233,43,International,,,,,,,,,,
D,Johnston Island 1961,39222,44,International,,,,,,,,,,
D,Kandawala,6244,45,Everest (India 1830),,,,,,,,,,
D,Kerguelen Island,39234,46,International,,,,,,,,,,
D,Kertau 1948,6245,47,Everest (W. Malaysia and Singapore 1948),,,,,,,,,,
D,KKJ,6123,1016,International,,,,,,,,,,
D,Kusaie Astro 1951,39259,135,International 1924,,,,,,,,,,
D,L.C. 5 Astro,39243,48,Clarke 1866,,,,,,,,,,
D,Leigon,6250,136,Clarke 1880,,,,,,,,,,
D,Liberia 1964,6251,49,Clarke 1880,,,,,,,,,,
D,Lithuanian Pulkovo 1942,6284,1018,International 1924,,,,,,,,,,
D,Luzon,6253,50,Clarke 1866,,,,,,,,,,
D,Luzon,6253,51,Clarke 1866,,,,,,,,,,
D,M'Poraloko,6266,138,Clarke 1880,,,,,,,,,,
D,Mahe 1971,6256,52,Clarke 1880,,,,,,,,,,
D,Massawa,6262,54,Bessel 1841,,,,,,,,,,
D,Merchich,6261,55,Clarke 1880,,,,,,,,,,
D,Midway Astro 1961,39224,56,International,,,,,,,,,,
D,Minna,6263,57,Clarke 1880,,,,,,,,,,
D,Montserrat Island Astro 1958,39244,137,Clarke 1880,,,,,,,,,,
D,Nahrwan,6270,58,Clarke 1880,,,,,,,,,,
D,Nahrwan,6270,59,Clarke 1880,,,,,,,,,,
D,Nahrwan,6270,60,Clarke 1880,,,,,,,,,,
D,Naparima BWI,6271,61,International,,,,,,,,,,
D,New Zealand Geodetic Datum 194 (7 parameter),6272,1010,International,,,,,,,,,,
D,New Zealand Geodetic Datum 1949 (NZGD 49),6272,31,International,,,,,,,,,,
D,North American 1927 (NAD 27),6267,62,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,63,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,64,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,65,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,66,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,67,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,68,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,69,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,70,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,71,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,72,Clarke 1866,,,,,,,,,,
D,North American 1927 (NAD 27),6267,73,Modified Clarke 1866,,,,,,,,,,
D,North American 1983 (NAD 83),6269,74,GRS 80,,,,,,,,,,
D,North Sahara 1959,6307,139,Clarke 1880,,,,,,,,,,
D,Nouvelle Triangulation Francaise (NTF) Greenwich Prime Meridian,6275,107,Modified Clarke 1880,,,,,,,,,,
D,Nouvelle Triangulation Francaise (NTF) Paris Prime Meridian,6275,1002,Modified Clarke 1880,,,,,,,,,,
D,Observatorio Meteorologico 1939,39245,140,International 1924,,,,,,,,,,
D,Old Hawaiian,39225,77,Clarke 1866,,,,,,,,,,
D,Oman,39206,78,Clarke 1880,,,,,,,,,,
D,Pico de las Nieves,39246,80,International,,,,,,,,,,
D,Pitcairn Astro 1967,39226,81,International,,,,,,,,,,
D,Point 58,39211,141,Clarke 1880,,,,,,,,,,
D,Pointe Noire 1948,6282,142,Clarke 1880,,,,,,,,,,
D,Porto Santo 1936,39247,143,International 1924,,,,,,,,,,
D,Provisional South American 1956,6248,82,International,,,,,,,,,,
D,Puerto Rico,39248,83,Clarke 1866,,,,,,,,,,
D,Pulkovo 1942,6284,1001,Krassovsky,,,,,,,,,,
D,Qatar National,6285,84,International,,,,,,,,,,
D,Qornoq,6287,85,International,,,,,,,,,,
D,Reunion,39235,86,International,,,,,,,,,,
D,Santo (DOS),39227,88,International,,,,,,,,,,
D,S?o Braz,39249,89,International,,,,,,,,,,
D,Sapper Hill 1943,6292,90,International,,,,,,,,,,
D,Schwarzeck,6293,91,Modified Bessel 1841,,,,,,,,,,
D,Selvagem Grande 1938,39250,144,International 1924,,,,,,,,,,
D,S-JTSK,39258,146,Bessel 1841,,,,,,,,,,
D,South American 1969,6291,92,South American 1969,,,,,,,,,,
D,South Asia,39207,93,Modified Fischer 1960,,,,,,,,,,
D,Tananarive Observatory 1925,6297,147,International 1924,,,,,,,,,,
D,Timbalai 1948,6298,96,Everest (India 1830),,,,,,,,,,
D,Tokyo,6301,97,Bessel 1841,,,,,,,,,,
D,Tristan Astro 1968,39251,98,International,,,,,,,,,,
D,Viti Levu 1916,39228,99,Clarke 1880,,,,,,,,,,
D,Voirol 1874,6304,148,Clarke 1880,,,,,,,,,,
D,Voirol 1960,6305,149,Clarke 1880,,,,,,,,,,
D,Wake-Eniwetok 1960,39229,100,Hough,,,,,,,,,,
D,World Geodetic System 1966 (WGS 66),39001,102,WGS 66,,,,,,,,,,
D,World Geodetic System 1972 (WGS 72),6322,103,WGS 72,,,,,,,,,,
D,World Geodetic System 1984 (WGS 84),6326,104,WGS 84,,,,,,,,,,
D,Xian,39312,1017,1980,,,,,,,,,,
D,Yacare,6309,105,International,,,,,,,,,,
D,Zanderij,6311,106,International,,,,,,,,,,
D,Custom Datum,-1,9999,SPHEROID_USER_DEFINED,,,,,,,,,,
D,Custom Datum,-1,999,SPHEROID_USER_DEFINED,,,,,,,,,,
D,Custom Datum,39312,0,IAG 75,,,,,,,,,,
TYPE,Name,,MICode,,,,,,,,,,,
U,Centimeters,100,6,,,,,,,,,,,
U,Feet (also called International Feet)1,3048,3,,,,,,,,,,,
U,Inches,254,2,,,,,,,,,,,
U,Kilometers,10000000,1,,,,,,,,,,,
U,Meters,10000,7,,,,,,,,,,,
U,Miles,16090000,0,,,,,,,,,,,
U,Millimeters,10,5,,,,,,,,,,,
U,Yards,9144,4,,,,,,,,,,,
TYPE,Name,,MICode,a,1/f,,,,,,,,,
E,Airy 1930,7001,9,6377563.396,299.3249646,,,,,,,,,
E,Airy 1930 (modified for Ireland 1965),7002,13,6377340.189,299.3249646,,,,,,,,,
E,ATS7 77,7041,51,6378135,298.257,,,,,,,,,
E,Australian,7003,2,6378160,298.25,,,,,,,,,
E,Bessel 1841,7004,10,6377397.155,299.1528128,,,,,,,,,
E,Bessel 1841 (modified for NGO 1948),7005,35,6377492.018,299.15281,,,,,,,,,
E,Bessel 1841 (modified for Schwarzeck),7006,14,6377483.865,299.1528128,,,,,,,,,
E,Clarke 1858,7007,36,6378293.639,294.26068,,,,,,,,,
E,Clarke 1866,7008,7,6378206.4,294.9786982,,,,,,,,,
E,Clarke 1866 (modified for Michigan),7009,8,6378450.047,294.9786982,,,,,,,,,
E,Clarke 1880,7034,6,6378249.145,293.465,,,,,,,,,
E,Clarke 1880 (modified for Arc 1950),7013,15,6378249.145,293.4663076,,,,,,,,,
E,Clarke 1880 (modified for IGN),7011,30,6378249.2,293.4660213,,,,,,,,,
E,Clarke 1880 (modified for Jamaica),7012,37,6378249.136,293.46631,,,,,,,,,
E,Clarke 1880 (modified for Merchich),7014,16,6378249.2,293.46598,,,,,,,,,
E,Clarke 1880 (modified for Palestine),7010,38,6378300.79,293.46623,,,,,,,,,
E,Everest (Brunei and East Malaysia (Sabah and Sarawak)),7016,39,6377298.556,300.8017,,,,,,,,,
E,Everest (India 1830),7015,11,6377276.345,300.8017,,,,,,,,,
E,Everest (India 1956),7017,40,6377301.243,300.80174,,,,,,,,,
E,Everest (Pakistan),-1,50,6377309.613,300.8017,,,,,,,,,
E,Everest (W. Malaysia and Singapore 1948),7018,17,6377304.063,300.8017,,,,,,,,,
E,Everest (West Malaysia 1969),40006,48,6377295.664,300.8017,,,,,,,,,
E,Fischer 1960,40002,18,6378166,298.3,,,,,,,,,
E,Fischer 1960 (modified for South Asia),40004,19,6378155,298.3,,,,,,,,,
E,Fischer 1968,40003,20,6378150,298.3,,,,,,,,,
E,GRS 67,7036,21,6378160,298.2471674,,,,,,,,,
E,GRS 80,7019,0,6378137,298.2572221,,,,,,,,,
E,Hayford,-1,5,6378388,297,,,,,,,,,
E,Helmert 1906,7020,22,6378200,298.3,,,,,,,,,
E,Hough,40005,23,6378270,297,,,,,,,,,
E,IAG 75,40023,31,6378140,298.257222,,,,,,,,,
E,Indonesian,7021,41,6378160,298.247,,,,,,,,,
E,International 1924,7022,4,6378388,297,,,,,,,,,
E,Irish (WOFO),-1,49,6377542.178,299.325,,,,,,,,,
E,Krassovsky,7024,3,6378245,298.3,,,,,,,,,
E,MERIT 83,7044,32,6378137,298.257,,,,,,,,,
E,New International 1967,7023,33,6378157.5,298.25,,,,,,,,,
E,NWL 10D,7026,43,6378135,298.26,,,,,,,,,
E,NWL 9D,7025,42,6378145,298.25,,,,,,,,,
E,OSU86F,7032,44,6378136.2,298.25722,,,,,,,,,
E,OSU91A,7033,45,6378136.3,298.25722,,,,,,,,,
E,Plessis 1817,7027,46,6376523,308.64,,,,,,,,,
E,PZ90,-1,52,6378136,298.2578393,,,,,,,,,
E,South American,-1,24,6378160,298.25,,,,,,,,,
E,Sphere,7035,12,6370997,0,,,,,,,,,
E,Struve 1860,7028,n/a,6378297,294.73,,,,,,,,,
E,Walbeck,40007,34,6376896,302.78,,,,,,,,,
E,War Office,7029,25,6378300.583,296,,,,,,,,,
E,WGS 60,-1,26,6378165,298.3,,,,,,,,,
E,WGS 66,40001,27,6378145,298.25,,,,,,,,,
E,WGS 72,7043,1,6378135,298.26,,,,,,,,,
E,WGS 84,7030,28,6378137,298.2572236,,,,,,,,,
